caller_number,receiver_number,timestamp,duration_sec,tower_id,call_type
8765432109,7654321098,2024-01-15T11:00:00Z,150,TOWER_CRIM_1,voice
8765432109,7654321098,2024-01-15T16:00:00Z,90,TOWER_CRIM_1,voice
7654321098,8765432109,2024-01-15T19:00:00Z,120,TOWER_CRIM_1,voice
8765432109,9999999999,2024-01-16T08:30:00Z,60,TOWER_A,voice
7654321098,9999999999,2024-01-16T10:00:00Z,45,TOWER_B,voice
1357924680,2468013579,2024-01-15T12:30:00Z,180,TOWER_CRIM_2,voice
2468013579,1357924680,2024-01-15T17:30:00Z,90,TOWER_CRIM_2,voice
1357924680,9999999999,2024-01-16T09:00:00Z,75,TOWER_K,voice
2468013579,9999999999,2024-01-16T11:30:00Z,120,TOWER_L,voice
9876543210,1234567890,2024-01-15T14:00:00Z,210,TOWER_CRIM_3,voice
1234567890,9876543210,2024-01-15T19:00:00Z,150,TOWER_CRIM_3,voice
9876543210,9999999999,2024-01-16T08:00:00Z,45,TOWER_M,voice
1234567890,9999999999,2024-01-16T10:30:00Z,90,TOWER_N,voice
1122334455,9999999999,2024-01-16T12:00:00Z,60,TOWER_O,voice
8888888888,5555555555,2024-01-15T15:00:00Z,90,TOWER_X,voice
7777777777,4444444444,2024-01-15T16:30:00Z,120,TOWER_Y,voice
6666666666,3333333333,2024-01-15T17:00:00Z,60,TOWER_Z,voice
8765432109,1357924680,2024-01-15T18:30:00Z,180,TOWER_AA,voice
7654321098,2468013579,2024-01-15T20:00:00Z,90,TOWER_AB,voice
5544332211,6677889900,2024-01-15T09:00:00Z,300,TOWER_NORMAL_1,voice
5544332211,6677889900,2024-01-15T17:00:00Z,600,TOWER_NORMAL_1,voice
5544332211,6677889900,2024-01-16T09:00:00Z,300,TOWER_NORMAL_1,voice
5544332211,6677889900,2024-01-16T17:00:00Z,600,TOWER_NORMAL_1,voice
6677889900,5544332211,2024-01-15T21:00:00Z,120,TOWER_NORMAL_1,voice
6677889900,5544332211,2024-01-16T21:00:00Z,120,TOWER_NORMAL_1,voice
5544332211,7788990011,2024-01-15T12:00:00Z,180,TOWER_NORMAL_2,voice
5544332211,7788990011,2024-01-16T13:00:00Z,150,TOWER_NORMAL_2,voice
7788990011,5544332211,2024-01-15T14:00:00Z,90,TOWER_NORMAL_3,voice
7788990011,5544332211,2024-01-16T15:00:00Z,60,TOWER_NORMAL_3,voice
4455667788,9988776655,2024-01-15T08:00:00Z,240,TOWER_NORMAL_4,voice
4455667788,9988776655,2024-01-15T18:00:00Z,180,TOWER_NORMAL_4,voice
4455667788,9988776655,2024-01-16T08:00:00Z,240,TOWER_NORMAL_4,voice
4455667788,9988776655,2024-01-16T18:00:00Z,180,TOWER_NORMAL_4,voice
9988776655,4455667788,2024-01-15T12:00:00Z,90,TOWER_NORMAL_4,voice
9988776655,4455667788,2024-01-16T12:00:00Z,90,TOWER_NORMAL_4,voice
4455667788,1122334455,2024-01-15T10:00:00Z,210,TOWER_NORMAL_5,voice
4455667788,1122334455,2024-01-16T11:00:00Z,180,TOWER_NORMAL_5,voice
3366998855,2244668800,2024-01-15T11:00:00Z,150,TOWER_NORMAL_6,voice
3366998855,2244668800,2024-01-15T20:00:00Z,120,TOWER_NORMAL_6,voice
3366998855,2244668800,2024-01-16T11:00:00Z,150,TOWER_NORMAL_6,voice
3366998855,7788990011,2024-01-15T14:00:00Z,90,TOWER_NORMAL_7,voice
2244668800,3366998855,2024-01-15T16:00:00Z,60,TOWER_NORMAL_7,voice
7788990011,3366998855,2024-01-16T14:00:00Z,180,TOWER_NORMAL_7,voice
1155779933,2266884400,2024-01-15T13:00:00Z,300,TOWER_NORMAL_8,voice
1155779933,2266884400,2024-01-15T22:00:00Z,90,TOWER_NORMAL_8,voice
1155779933,2266884400,2024-01-16T13:00:00Z,300,TOWER_NORMAL_8,voice
2266884400,1155779933,2024-01-15T19:00:00Z,120,TOWER_NORMAL_8,voice
2266884400,1155779933,2024-01-16T19:00:00Z,120,TOWER_NORMAL_8,voice
5566778899,4455667788,2024-01-15T09:30:00Z,120,TOWER_BUSINESS_1,voice
5566778899,4455667788,2024-01-15T16:30:00Z,90,TOWER_BUSINESS_1,voice
5566778899,7788990011,2024-01-15T10:30:00Z,150,TOWER_BUSINESS_2,voice
5566778899,3366998855,2024-01-15T14:30:00Z,180,TOWER_BUSINESS_3,voice
5566778899,9988776655,2024-01-16T09:30:00Z,120,TOWER_BUSINESS_4,voice
4455667788,5566778899,2024-01-16T15:30:00Z,90,TOWER_BUSINESS_1,voice
7788990011,5566778899,2024-01-16T10:30:00Z,150,TOWER_BUSINESS_2,voice
8888888888,9876543210,2024-01-15T13:00:00Z,60,TOWER_CRIM_4,voice
7777777777,1234567890,2024-01-15T14:30:00Z,90,TOWER_CRIM_5,voice
6666666666,1122334455,2024-01-15T15:30:00Z,120,TOWER_CRIM_6,voice
5555555555,1357924680,2024-01-15T16:30:00Z,45,TOWER_CRIM_7,voice
4444444444,2468013579,2024-01-15T17:30:00Z,180,TOWER_CRIM_8,voice
9999999999,8888888888,2024-01-15T08:45:00Z,0,TOWER_A,sms
9999999999,7777777777,2024-01-15T09:30:00Z,0,TOWER_B,sms
9999999999,6666666666,2024-01-15T10:15:00Z,0,TOWER_C,sms
9999999999,5555555555,2024-01-15T11:45:00Z,0,TOWER_D,sms
9999999999,4444444444,2024-01-15T14:15:00Z,0,TOWER_E,sms
8888888888,9999999999,2024-01-15T12:15:00Z,0,TOWER_A,sms
7777777777,9999999999,2024-01-15T13:45:00Z,0,TOWER_B,sms
6666666666,9999999999,2024-01-15T18:15:00Z,0,TOWER_C,sms
5544332211,6677889900,2024-01-15T12:30:00Z,0,TOWER_NORMAL_1,sms
5544332211,6677889900,2024-01-15T18:30:00Z,0,TOWER_NORMAL_1,sms
4455667788,9988776655,2024-01-15T08:30:00Z,0,TOWER_NORMAL_4,sms
4455667788,9988776655,2024-01-15T18:30:00Z,0,TOWER_NORMAL_4,sms
9999999999,8765432109,2024-01-16T12:00:00Z,90,TOWER_CRIM_1,voice
9999999999,7654321098,2024-01-16T13:30:00Z,60,TOWER_CRIM_1,voice
8765432109,9999999999,2024-01-16T15:00:00Z,45,TOWER_CRIM_1,voice
8888888888,8765432109,2024-01-15T18:30:00Z,120,TOWER_CROSS_1,voice
7777777777,7654321098,2024-01-15T19:30:00Z,90,TOWER_CROSS_2,voice
6666666666,1357924680,2024-01-15T20:30:00Z,60,TOWER_CROSS_3,voice
7788990011,4455667788,2024-01-15T11:00:00Z,90,TOWER_NORMAL_9,voice
4455667788,7788990011,2024-01-15T15:00:00Z,120,TOWER_NORMAL_9,voice
3366998855,5566778899,2024-01-15T12:00:00Z,150,TOWER_NORMAL_10,voice
5566778899,3366998855,2024-01-15T16:00:00Z,180,TOWER_NORMAL_10,voice
9988776655,1122334455,2024-01-15T13:00:00Z,60,TOWER_NORMAL_11,voice
1122334455,9988776655,2024-01-15T17:00:00Z,90,TOWER_NORMAL_11,voice
